Date,Time,Open,High,Low,Close,Volume
2008.12.22,00:00,1.10410,1.10440,1.08810,1.09230,16211
2008.12.23,00:00,1.09260,1.09450,1.08300,1.08830,12087
2008.12.24,00:00,1.08840,1.08870,1.07130,1.07800,9059
2008.12.26,00:00,1.07540,1.07560,1.06630,1.06940,4092
2008.12.29,00:00,1.06610,1.06660,1.03660,1.06030,13541
2008.12.30,00:00,1.06050,1.06310,1.04810,1.05530,13058
2008.12.31,00:00,1.05520,1.07360,1.05360,1.06690,9096
2009.01.02,00:00,1.06180,1.08430,1.06180,1.08110,7374
2009.01.05,00:00,1.08120,1.11220,1.07060,1.11060,15543
2009.01.06,00:00,1.11050,1.12770,1.10720,1.11620,15776
2009.01.07,00:00,1.11610,1.12060,1.08670,1.10100,15593
2009.01.08,00:00,1.10090,1.10820,1.08640,1.09340,16846
2009.01.09,00:00,1.09330,1.11860,1.08870,1.11420,21264
2009.01.12,00:00,1.11140,1.12410,1.10960,1.11430,19909
2009.01.13,00:00,1.11440,1.12520,1.11360,1.11910,21844
2009.01.14,00:00,1.11920,1.12380,1.11210,1.11780,20680
2009.01.15,00:00,1.11750,1.12870,1.11340,1.12360,23161
2009.01.16,00:00,1.12370,1.12370,1.11080,1.11610,19405
2009.01.19,00:00,1.11360,1.13670,1.11210,1.13450,16654
2009.01.20,00:00,1.13440,1.15170,1.13150,1.14940,25011
2009.01.21,00:00,1.14930,1.16140,1.13800,1.15090,24303
2009.01.22,00:00,1.15100,1.15950,1.15080,1.15320,23395
2009.01.23,00:00,1.15240,1.17140,1.15190,1.15400,20503
2009.01.26,00:00,1.15630,1.16420,1.13280,1.13490,20418
2009.01.27,00:00,1.13480,1.14340,1.13130,1.14140,22277
2009.01.28,00:00,1.14130,1.15640,1.13290,1.15260,24445
2009.01.29,00:00,1.15280,1.15790,1.14060,1.15440,21582
2009.01.30,00:00,1.15430,1.16580,1.15150,1.16170,22363
2009.02.02,00:00,1.16360,1.16830,1.15760,1.16250,18294
2009.02.03,00:00,1.16240,1.16650,1.13990,1.14420,21591
2009.02.04,00:00,1.14410,1.16350,1.14100,1.15960,25395
2009.02.05,00:00,1.15970,1.17270,1.15710,1.17200,19168
2009.02.06,00:00,1.17190,1.17420,1.15910,1.16210,17916
2009.02.09,00:00,1.15985,1.16770,1.15010,1.16415,31569
2009.02.10,00:00,1.16405,1.17785,1.15030,1.15600,28539
2009.02.11,00:00,1.15590,1.16310,1.15090,1.15985,23218
2009.02.12,00:00,1.15975,1.17130,1.15585,1.16035,23482
2009.02.13,00:00,1.16045,1.16590,1.15590,1.16055,18934
2009.02.16,00:00,1.16350,1.17040,1.15780,1.16010,15341
2009.02.17,00:00,1.16040,1.17775,1.15954,1.16970,26470
2009.02.18,00:00,1.16980,1.18250,1.16495,1.17527,23761
2009.02.19,00:00,1.17530,1.17970,1.17010,1.17210,24203
2009.02.20,00:00,1.17220,1.18830,1.14590,1.15600,23173
2009.02.23,00:00,1.15751,1.16955,1.14605,1.16792,39899
2009.02.24,00:00,1.16804,1.17120,1.15318,1.15837,48340
2009.02.25,00:00,1.15834,1.17405,1.15475,1.16982,38746
2009.02.26,00:00,1.16957,1.17275,1.15945,1.16460,34600
2009.02.27,00:00,1.16455,1.17590,1.16115,1.16827,38571
2009.03.02,00:00,1.17165,1.17940,1.17015,1.17680,37602
2009.03.03,00:00,1.17672,1.17860,1.16818,1.17699,37786
2009.03.04,00:00,1.17696,1.18477,1.16423,1.16759,43351
2009.03.05,00:00,1.16793,1.18083,1.16727,1.17056,41833
2009.03.06,00:00,1.17069,1.17106,1.14837,1.15798,48642
2009.03.09,00:00,1.15749,1.16805,1.15327,1.15995,42805
2009.03.10,00:00,1.15999,1.16493,1.14304,1.15936,48274
2009.03.11,00:00,1.15920,1.16750,1.15192,1.15432,45993
2009.03.12,00:00,1.15425,1.19631,1.14951,1.18784,51489
2009.03.13,00:00,1.18783,1.19330,1.18334,1.18499,46515
2009.03.16,00:00,1.19080,1.19108,1.18029,1.18532,44150
2009.03.17,00:00,1.18541,1.19003,1.18010,1.18035,45909
2009.03.18,00:00,1.18040,1.18302,1.13759,1.14020,53272
2009.03.19,00:00,1.14021,1.14560,1.11585,1.12408,59847
2009.03.20,00:00,1.12396,1.12965,1.11679,1.12685,41426
2009.03.23,00:00,1.12352,1.13410,1.11700,1.12472,36119
2009.03.24,00:00,1.12463,1.13234,1.12070,1.12940,45499
2009.03.25,00:00,1.12930,1.13267,1.11685,1.12111,40029
2009.03.26,00:00,1.12117,1.12870,1.11809,1.12680,34931
2009.03.27,00:00,1.12670,1.14787,1.12218,1.14380,34778
2009.03.30,00:00,1.14908,1.15477,1.14379,1.14840,36463
2009.03.31,00:00,1.14842,1.15155,1.13555,1.13897,42351
2009.04.01,00:00,1.13893,1.15051,1.13694,1.14609,36266
2009.04.02,00:00,1.14602,1.14855,1.13009,1.13375,36846
2009.04.03,00:00,1.13383,1.13894,1.12955,1.13086,30927
2009.04.06,00:00,1.12963,1.14058,1.12398,1.13670,38400
2009.04.07,00:00,1.13660,1.14817,1.13448,1.14255,36991
2009.04.08,00:00,1.14253,1.15168,1.14138,1.14715,32894
2009.04.09,00:00,1.14716,1.16028,1.14264,1.15628,33616
2009.04.10,00:00,1.15618,1.16220,1.15414,1.15443,14631
2009.04.13,00:00,1.15509,1.16068,1.13033,1.13293,23548
2009.04.14,00:00,1.13292,1.14468,1.13205,1.13712,35480
2009.04.15,00:00,1.13721,1.14858,1.13660,1.14373,36031
2009.04.16,00:00,1.14378,1.15186,1.13980,1.14703,38199
2009.04.17,00:00,1.14716,1.16872,1.14578,1.16495,39833
2009.04.20,00:00,1.16662,1.17403,1.16545,1.16868,38907
2009.04.21,00:00,1.16876,1.17180,1.16347,1.16762,41362
2009.04.22,00:00,1.16770,1.17200,1.15965,1.16358,38783
2009.04.23,00:00,1.16360,1.16738,1.15004,1.15132,40618
2009.04.24,00:00,1.15107,1.15251,1.13479,1.13900,39225
2009.04.27,00:00,1.13816,1.16022,1.13603,1.15650,43364
2009.04.28,00:00,1.15640,1.15953,1.14182,1.14388,41687
2009.04.29,00:00,1.14386,1.14450,1.12998,1.13688,45830
2009.04.30,00:00,1.13681,1.14318,1.12698,1.14102,45795
2009.05.01,00:00,1.14098,1.14122,1.13334,1.13574,27725
2009.05.04,00:00,1.13503,1.14200,1.12508,1.12556,34080
2009.05.05,00:00,1.12560,1.13595,1.12443,1.13378,43909
2009.05.06,00:00,1.13379,1.13848,1.12863,1.13297,45797
2009.05.07,00:00,1.13294,1.14206,1.12520,1.13028,46604
2009.05.08,00:00,1.13029,1.13353,1.10488,1.10576,46034
2009.05.11,00:00,1.10398,1.11040,1.10194,1.11003,39975
2009.05.12,00:00,1.10998,1.11046,1.10026,1.10538,44098
2009.05.13,00:00,1.10543,1.10988,1.09769,1.10723,47267
2009.05.14,00:00,1.10707,1.11218,1.10255,1.10434,47423
2009.05.15,00:00,1.10438,1.12460,1.10370,1.12130,51054
2009.05.18,00:00,1.12210,1.12623,1.11378,1.11430,46135
2009.05.19,00:00,1.11434,1.11629,1.10692,1.10930,52537
2009.05.20,00:00,1.10936,1.11275,1.09672,1.10106,60714
2009.05.21,00:00,1.10107,1.10557,1.09148,1.09245,56890
2009.05.22,00:00,1.09250,1.09305,1.08110,1.08553,63633
2009.05.25,00:00,1.08457,1.08706,1.08171,1.08269,39578
2009.05.26,00:00,1.08280,1.09254,1.08121,1.08370,73340
2009.05.27,00:00,1.08368,1.09359,1.08097,1.09242,77551
2009.05.28,00:00,1.09243,1.09529,1.08028,1.08512,79876
2009.05.29,00:00,1.08507,1.08581,1.06550,1.06680,80046
2009.06.01,00:00,1.06716,1.07236,1.06182,1.07059,76277
2009.06.02,00:00,1.07054,1.07424,1.05904,1.06123,81563
2009.06.03,00:00,1.06128,1.07460,1.06013,1.07115,90332
2009.06.04,00:00,1.07119,1.07616,1.06404,1.06933,86769
2009.06.05,00:00,1.06936,1.09061,1.06626,1.08556,82659
2009.06.08,00:00,1.08741,1.09857,1.08346,1.09142,77126
2009.06.09,00:00,1.09135,1.09522,1.07614,1.07752,79891
2009.06.10,00:00,1.07744,1.08570,1.07188,1.08198,81595
2009.06.11,00:00,1.08196,1.08383,1.06500,1.07107,86896
2009.06.12,00:00,1.07118,1.08462,1.06862,1.07910,77977
2009.06.15,00:00,1.08076,1.09493,1.07810,1.09244,84137
2009.06.16,00:00,1.09245,1.09548,1.08208,1.08837,90828
2009.06.17,00:00,1.08844,1.09232,1.07632,1.07967,87478
2009.06.18,00:00,1.07972,1.08967,1.07608,1.08559,73088
2009.06.19,00:00,1.08565,1.08917,1.07642,1.08115,60441
2009.06.22,00:00,1.08005,1.08957,1.07955,1.08645,71943
2009.06.23,00:00,1.08643,1.08809,1.06415,1.06680,81313
2009.06.24,00:00,1.06685,1.10210,1.06309,1.09805,92150
2009.06.25,00:00,1.09808,1.10133,1.09206,1.09312,63564
2009.06.26,00:00,1.09323,1.09454,1.07959,1.08349,69140
2009.06.29,00:00,1.08291,1.09110,1.08080,1.08331,63393
2009.06.30,00:00,1.08328,1.08894,1.07774,1.08581,69009
2009.07.01,00:00,1.08584,1.08844,1.07122,1.07419,65230
2009.07.02,00:00,1.07434,1.09002,1.07395,1.08828,74203
2009.07.03,00:00,1.08821,1.08934,1.08288,1.08640,40879
2009.07.06,00:00,1.08790,1.09557,1.08365,1.08531,67425
2009.07.07,00:00,1.08525,1.09141,1.08001,1.08881,68924
2009.07.08,00:00,1.08880,1.09411,1.08759,1.09055,75371
2009.07.09,00:00,1.09064,1.09148,1.07503,1.07830,71338
2009.07.10,00:00,1.07838,1.09230,1.07788,1.08620,68715
2009.07.13,00:00,1.08504,1.08888,1.08075,1.08252,68504
2009.07.14,00:00,1.08253,1.09381,1.08045,1.08778,55654
2009.07.15,00:00,1.08782,1.08918,1.07219,1.07482,62855
2009.07.16,00:00,1.07487,1.07893,1.07014,1.07327,71362
2009.07.17,00:00,1.07325,1.08167,1.07319,1.07669,66932
2009.07.20,00:00,1.07612,1.07667,1.06563,1.06775,70468
2009.07.21,00:00,1.06779,1.07158,1.06220,1.06651,69543
2009.07.22,00:00,1.06645,1.07135,1.06294,1.06673,66934
2009.07.23,00:00,1.06670,1.07699,1.06327,1.07458,72859
2009.07.24,00:00,1.07465,1.07567,1.06723,1.07168,56409
2009.07.27,00:00,1.06969,1.07409,1.06525,1.06993,60657
2009.07.28,00:00,1.06992,1.07962,1.06567,1.07513,66242
2009.07.29,00:00,1.07515,1.09067,1.07304,1.08797,77116
2009.07.30,00:00,1.08789,1.09331,1.08409,1.08815,72574
2009.07.31,00:00,1.08816,1.08903,1.06579,1.06834,69203
2009.08.03,00:00,1.06760,1.07309,1.05618,1.05885,70443
2009.08.04,00:00,1.05886,1.06452,1.05773,1.06057,63713
2009.08.05,00:00,1.06059,1.06590,1.05842,1.06125,56845
2009.08.06,00:00,1.06126,1.06792,1.06017,1.06491,57464
2009.08.07,00:00,1.06492,1.08440,1.05791,1.08089,53651
2009.08.10,00:00,1.08192,1.08832,1.07972,1.08478,44693
2009.08.11,00:00,1.08479,1.08635,1.07903,1.08168,54893
2009.08.12,00:00,1.08176,1.08458,1.07321,1.07665,68200
2009.08.13,00:00,1.07661,1.07676,1.06744,1.07057,63432
2009.08.14,00:00,1.07059,1.07509,1.06702,1.07184,56017
2009.08.17,00:00,1.07329,1.08336,1.07271,1.07854,66224
2009.08.18,00:00,1.07854,1.08004,1.07413,1.07568,63001
2009.08.19,00:00,1.07569,1.07804,1.06232,1.06495,64578
2009.08.20,00:00,1.06489,1.06834,1.06182,1.06350,53707
2009.08.21,00:00,1.06352,1.06545,1.05525,1.05822,51682
2009.08.24,00:00,1.05666,1.06288,1.05627,1.06159,45189
2009.08.25,00:00,1.06158,1.06385,1.05642,1.06137,48904
2009.08.26,00:00,1.06139,1.07140,1.05796,1.06837,50108
2009.08.27,00:00,1.06826,1.07034,1.05303,1.05869,50873
2009.08.28,00:00,1.05868,1.06172,1.05391,1.05957,46552
2009.08.31,00:00,1.05998,1.06346,1.05549,1.05912,44529
2009.09.01,00:00,1.05905,1.07039,1.05430,1.06551,52989
2009.09.02,00:00,1.06541,1.06852,1.05799,1.06113,52109
2009.09.03,00:00,1.06111,1.06355,1.05450,1.06185,48556
2009.09.04,00:00,1.06186,1.06981,1.05775,1.06050,45757
2009.09.07,00:00,1.06064,1.06076,1.05560,1.05954,33848
2009.09.08,00:00,1.05956,1.06017,1.04315,1.04637,50966
2009.09.09,00:00,1.04646,1.04880,1.03833,1.04042,50517
2009.09.10,00:00,1.04043,1.04606,1.03575,1.03855,48709
2009.09.11,00:00,1.03856,1.03980,1.03397,1.03827,48739
2009.09.14,00:00,1.03602,1.04220,1.03284,1.03372,51736
2009.09.15,00:00,1.03383,1.04179,1.03222,1.03448,50811
2009.09.16,00:00,1.03454,1.03677,1.02969,1.03190,50316
2009.09.17,00:00,1.03193,1.03569,1.02745,1.02821,50392
2009.09.18,00:00,1.02832,1.03462,1.02756,1.02942,46293
2009.09.21,00:00,1.03064,1.03886,1.02897,1.03235,47675
2009.09.22,00:00,1.03228,1.03243,1.02154,1.02380,50166
2009.09.23,00:00,1.02387,1.02951,1.01856,1.02946,58834
2009.09.24,00:00,1.02940,1.03225,1.02076,1.02932,63088
2009.09.25,00:00,1.02934,1.03409,1.02420,1.02735,57664
2009.09.28,00:00,1.02695,1.03741,1.02504,1.03266,57013
2009.09.29,00:00,1.03269,1.04042,1.03126,1.03610,58743
2009.09.30,00:00,1.03606,1.04483,1.02825,1.03571,61807
2009.10.01,00:00,1.03572,1.04521,1.03370,1.04093,59577
2009.10.02,00:00,1.04098,1.04353,1.03095,1.03499,56482
2009.10.05,00:00,1.03410,1.03573,1.03062,1.03195,47556
2009.10.06,00:00,1.03191,1.03229,1.02368,1.02689,53318
2009.10.07,00:00,1.02682,1.03583,1.02575,1.03297,55976
2009.10.08,00:00,1.03296,1.03329,1.02306,1.02613,56776
2009.10.09,00:00,1.02616,1.03514,1.02590,1.03123,54276
