Date,Time,Open,High,Low,Close,Volume
1999.01.04,00:00,113.470,114.360,111.570,111.940,6226
1999.01.05,00:00,112.060,112.420,110.510,111.920,6367
1999.01.06,00:00,111.820,113.430,111.600,112.770,6225
1999.01.07,00:00,112.720,113.020,109.770,111.330,6671
1999.01.08,00:00,111.370,112.170,110.520,110.800,10700
1999.01.11,00:00,110.270,111.000,108.220,109.020,9168
1999.01.12,00:00,108.970,112.850,108.640,112.600,10131
1999.01.13,00:00,112.620,114.130,111.110,113.520,7265
1999.01.14,00:00,113.440,114.450,112.820,113.520,6335
1999.01.15,00:00,113.450,114.210,112.270,114.150,5479
1999.01.18,00:00,114.170,115.010,113.340,114.160,5482
1999.01.19,00:00,114.200,114.970,113.350,113.520,5702
1999.01.20,00:00,113.620,114.060,112.660,112.910,5919
1999.01.21,00:00,113.000,114.420,112.320,113.870,6251
1999.01.22,00:00,113.900,114.740,113.500,114.560,5453
1999.01.25,00:00,114.570,114.820,113.570,113.720,4696
1999.01.26,00:00,113.730,114.280,113.300,113.860,5805
1999.01.27,00:00,113.810,116.140,113.470,115.630,6148
1999.01.28,00:00,115.620,116.830,115.170,116.290,7200
1999.01.29,00:00,116.260,116.500,115.730,116.330,6129
1999.02.01,00:00,115.970,116.020,114.790,115.090,5527
1999.02.02,00:00,115.100,115.200,111.910,111.930,7519
1999.02.03,00:00,111.950,113.160,111.750,112.910,5929
1999.02.04,00:00,112.920,114.100,111.600,112.090,6991
1999.02.05,00:00,112.070,113.730,111.340,113.130,7043
1999.02.08,00:00,112.990,115.000,112.720,114.560,5505
1999.02.09,00:00,114.540,114.920,113.900,114.020,6509
1999.02.10,00:00,113.820,115.520,113.700,114.320,6802
1999.02.11,00:00,114.290,114.830,113.590,114.650,5409
1999.02.12,00:00,114.670,115.780,113.850,114.000,7430
1999.02.15,00:00,114.050,115.970,113.800,115.920,5125
1999.02.16,00:00,115.970,118.860,115.650,118.670,7235
1999.02.17,00:00,118.680,119.250,117.980,118.720,6231
1999.02.18,00:00,118.730,120.140,118.320,119.680,6303
1999.02.19,00:00,119.680,121.450,119.410,121.350,7550
1999.02.22,00:00,121.400,122.520,120.050,121.140,7559
1999.02.23,00:00,121.020,121.900,119.800,120.790,7610
1999.02.24,00:00,120.780,122.100,120.570,121.380,6616
1999.02.25,00:00,121.350,121.820,119.110,119.820,6296
1999.02.26,00:00,119.620,121.120,118.450,119.210,7699
1999.03.01,00:00,119.280,119.900,118.860,119.740,6071
1999.03.02,00:00,119.710,120.870,119.710,120.090,4659
1999.03.03,00:00,120.040,121.900,119.920,121.850,6370
1999.03.04,00:00,121.840,123.750,121.780,123.500,6188
1999.03.05,00:00,123.400,123.570,122.030,122.720,5908
1999.03.08,00:00,122.850,123.180,121.090,121.710,5974
1999.03.09,00:00,121.650,122.100,120.630,121.120,7553
1999.03.10,00:00,121.130,121.380,119.580,119.780,6925
1999.03.11,00:00,119.770,121.050,118.640,119.110,7610
1999.03.12,00:00,119.120,120.470,118.670,118.780,6725
1999.03.15,00:00,119.100,119.390,117.390,117.860,5807
1999.03.16,00:00,117.870,118.490,117.320,117.440,5541
1999.03.17,00:00,117.390,119.180,117.200,118.260,5795
1999.03.18,00:00,118.280,118.800,117.370,117.500,6815
1999.03.19,00:00,117.530,117.800,116.890,117.050,6088
1999.03.22,00:00,116.940,118.430,116.920,118.310,5633
1999.03.23,00:00,118.320,118.780,117.810,118.170,5521
1999.03.24,00:00,118.230,118.510,117.120,118.160,6285
1999.03.25,00:00,118.130,118.380,117.690,118.170,6031
1999.03.26,00:00,118.160,120.490,117.980,120.320,5727
1999.03.29,00:00,120.360,120.580,119.620,120.220,4896
1999.03.30,00:00,120.260,120.710,119.860,120.260,4252
1999.03.31,00:00,120.250,121.000,118.150,118.860,6323
1999.04.01,00:00,118.850,120.870,118.400,120.870,4934
1999.04.02,00:00,120.870,120.870,120.350,120.770,1241
1999.04.05,00:00,120.660,122.000,120.430,121.700,2044
1999.04.06,00:00,121.710,121.810,120.430,120.550,5363
1999.04.07,00:00,120.560,121.620,120.450,121.420,4850
1999.04.08,00:00,121.410,121.600,120.380,121.240,5975
1999.04.09,00:00,121.250,121.490,120.740,120.940,5611
1999.04.12,00:00,120.870,120.900,119.750,120.420,5077
1999.04.13,00:00,120.430,120.800,119.630,119.770,5280
1999.04.14,00:00,119.780,119.960,118.520,118.720,5433
1999.04.15,00:00,118.830,119.460,118.280,119.160,5796
1999.04.16,00:00,119.150,119.170,117.420,117.860,5653
1999.04.19,00:00,117.820,118.520,117.500,117.610,4691
1999.04.20,00:00,117.620,118.970,117.460,118.910,4841
1999.04.21,00:00,118.920,119.930,118.520,119.830,5470
1999.04.22,00:00,119.820,120.410,119.370,119.530,5246
1999.04.23,00:00,119.510,119.820,119.020,119.200,4462
1999.04.26,00:00,119.230,119.580,118.680,119.370,4316
1999.04.27,00:00,119.330,120.570,119.140,120.240,5139
1999.04.28,00:00,120.230,120.420,118.310,119.050,6613
1999.04.29,00:00,119.030,119.640,118.790,119.150,4859
1999.04.30,00:00,119.140,119.970,118.950,119.500,5099
1999.05.03,00:00,119.530,120.400,119.420,120.300,3515
1999.05.04,00:00,120.290,121.290,120.170,120.820,4904
1999.05.05,00:00,120.850,121.400,120.150,120.400,5674
1999.05.06,00:00,120.390,121.140,119.820,120.540,6450
1999.05.07,00:00,120.540,120.920,120.270,120.750,5222
1999.05.10,00:00,120.910,121.290,120.410,120.620,4644
1999.05.11,00:00,120.610,121.190,120.270,120.940,5403
1999.05.12,00:00,120.950,121.610,120.310,120.890,5422
1999.05.13,00:00,120.890,121.900,120.880,121.770,4283
1999.05.14,00:00,121.780,122.850,121.520,122.850,5757
1999.05.17,00:00,122.840,123.590,122.770,123.570,6065
1999.05.18,00:00,123.530,123.660,122.630,123.320,5371
1999.05.19,00:00,123.330,124.720,123.210,124.280,6981
1999.05.20,00:00,124.280,124.820,123.810,124.320,6343
1999.05.21,00:00,124.330,124.590,123.500,123.970,5736
1999.05.24,00:00,124.060,124.370,122.920,123.070,3524
1999.05.25,00:00,123.060,123.350,122.230,122.420,5364
1999.05.26,00:00,122.330,122.470,121.590,122.340,6828
1999.05.27,00:00,122.320,122.750,119.750,120.270,6732
1999.05.28,00:00,120.220,121.780,120.190,121.570,6584
1999.05.31,00:00,121.750,121.900,121.170,121.520,3653
1999.06.01,00:00,121.520,121.970,120.360,120.650,6343
1999.06.02,00:00,120.660,121.690,120.320,121.610,6333
1999.06.03,00:00,121.630,122.020,120.960,121.520,6533
1999.06.04,00:00,121.590,122.470,121.020,122.350,5219
1999.06.07,00:00,122.410,122.420,120.550,120.800,4142
1999.06.08,00:00,120.810,121.690,118.720,119.270,7377
1999.06.09,00:00,119.260,119.630,118.570,119.220,6820
1999.06.10,00:00,119.190,119.950,117.640,118.880,9403
1999.06.11,00:00,118.890,119.100,117.850,117.890,6316
1999.06.14,00:00,118.060,120.880,117.880,120.670,7144
1999.06.15,00:00,120.670,120.770,120.130,120.420,5551
1999.06.16,00:00,120.460,120.650,119.920,120.420,4755
1999.06.17,00:00,120.380,120.420,119.120,119.470,6152
1999.06.18,00:00,119.500,120.940,118.970,120.510,5236
1999.06.21,00:00,120.720,122.600,120.600,122.350,6143
1999.06.22,00:00,122.320,122.520,121.500,121.750,6269
1999.06.23,00:00,121.760,122.330,121.680,121.870,5710
1999.06.24,00:00,121.880,122.310,121.620,121.890,5266
1999.06.25,00:00,121.820,122.050,121.120,121.480,6166
1999.06.28,00:00,121.370,121.950,120.970,121.460,5990
1999.06.29,00:00,121.480,121.620,120.760,121.080,4106
1999.06.30,00:00,121.070,121.270,120.550,121.070,6382
1999.07.01,00:00,121.070,121.520,120.600,120.760,4807
1999.07.02,00:00,120.770,121.260,120.730,120.960,4037
1999.07.05,00:00,121.050,122.860,120.870,122.370,4881
1999.07.06,00:00,122.390,122.440,121.820,122.050,4432
1999.07.07,00:00,122.040,122.350,121.800,122.340,4569
1999.07.08,00:00,122.320,122.770,122.200,122.570,4804
1999.07.09,00:00,122.560,122.720,122.050,122.370,4982
1999.07.12,00:00,122.320,122.500,121.920,122.220,4188
