Date,Time,Open,High,Low,Close,Volume
2009.01.28,00:00,126.130,129.650,125.600,128.770,39492
2009.01.29,00:00,128.760,129.390,126.490,128.600,37989
2009.01.30,00:00,128.590,130.850,126.670,130.680,44538
2009.02.02,00:00,129.430,129.860,125.290,127.160,39076
2009.02.03,00:00,127.150,129.460,126.680,128.930,38723
2009.02.04,00:00,128.920,130.650,127.290,128.950,40558
2009.02.05,00:00,128.960,135.600,128.460,133.220,40943
2009.02.06,00:00,133.240,136.760,132.460,135.820,38268
2009.02.09,00:00,136.377,137.315,133.615,136.140,64146
2009.02.10,00:00,136.150,136.250,130.290,131.270,69623
2009.02.11,00:00,131.300,131.760,128.856,129.840,51756
2009.02.12,00:00,129.830,130.010,127.075,129.730,55735
2009.02.13,00:00,129.740,133.875,129.190,131.820,50685
2009.02.16,00:00,130.490,131.435,129.605,130.950,30001
2009.02.17,00:00,130.947,132.180,129.640,131.470,52941
2009.02.18,00:00,131.450,133.705,130.355,133.263,50818
2009.02.19,00:00,133.298,136.340,132.880,134.430,51076
2009.02.20,00:00,134.400,135.345,132.710,134.670,49745
2009.02.23,00:00,134.607,139.102,133.805,136.763,71657
2009.02.24,00:00,136.760,140.622,136.198,140.490,67357
2009.02.25,00:00,140.500,141.745,137.655,138.425,52777
2009.02.26,00:00,138.430,141.673,138.303,140.904,56620
2009.02.27,00:00,140.921,140.949,136.697,139.585,71717
2009.03.02,00:00,139.329,139.505,135.525,136.174,58099
2009.03.03,00:00,136.182,138.617,136.031,137.757,57916
2009.03.04,00:00,137.782,140.818,137.350,140.631,59370
2009.03.05,00:00,140.621,141.483,137.977,138.413,59119
2009.03.06,00:00,138.430,140.174,137.227,138.418,63469
2009.03.09,00:00,138.786,139.291,135.916,136.228,59122
2009.03.10,00:00,136.225,137.018,135.125,135.889,61278
2009.03.11,00:00,135.897,136.230,133.858,134.883,61622
2009.03.12,00:00,134.902,136.530,131.432,135.923,76201
2009.03.13,00:00,135.920,138.360,135.268,137.196,69996
2009.03.16,00:00,136.438,139.994,136.438,138.204,63602
2009.03.17,00:00,138.214,139.358,137.920,138.715,64092
2009.03.18,00:00,138.725,138.993,134.946,137.335,73052
2009.03.19,00:00,137.333,137.942,135.230,137.005,83434
2009.03.20,00:00,137.016,138.935,136.574,138.715,61173
2009.03.23,00:00,138.620,141.830,138.520,141.084,58187
2009.03.24,00:00,141.078,145.070,141.063,144.368,66794
2009.03.25,00:00,144.371,144.571,140.941,141.822,64223
2009.03.26,00:00,141.828,143.552,141.810,142.842,59413
2009.03.27,00:00,142.838,142.878,139.005,140.093,54518
2009.03.30,00:00,139.648,140.416,135.715,138.953,60521
2009.03.31,00:00,138.968,142.484,138.507,141.605,69934
2009.04.01,00:00,141.612,142.806,140.548,142.522,67690
2009.04.02,00:00,142.527,146.897,142.260,146.733,64064
2009.04.03,00:00,146.726,148.905,145.523,148.807,59105
2009.04.06,00:00,148.906,151.495,147.674,149.000,54413
